epoch,F1,loss,precision,recall,val_F1,val_loss,val_precision,val_recall
0,"""[0.5979717]""",0.14876319468021393,0.5979721546173096,0.7605338096618652,"""[0.0]""",1.1379505395889282,0.0,0.0
1,"""[0.66683096]""",0.12897278368473053,0.6668314337730408,0.809116780757904,"""[0.0]""",1.0263652801513672,0.0,0.0
2,"""[0.77273875]""",0.10150439292192459,0.7727392315864563,0.8789923787117004,"""[0.0]""",1.0465013980865479,0.0,0.0
3,"""[0.7885835]""",0.09145281463861465,0.7885840535163879,0.9094316959381104,"""[0.0]""",0.9415120482444763,0.0,0.0
4,"""[0.7857417]""",0.09455136209726334,0.7857421636581421,0.9056830406188965,"""[0.0]""",1.0129003524780273,0.0,0.0
5,"""[0.7606466]""",0.1004265770316124,0.7606470584869385,0.9025341272354126,"""[0.0]""",0.9981620907783508,0.0,0.0
6,"""[0.723526]""",0.1013626903295517,0.7235264778137207,0.8687959313392639,"""[0.0]""",0.9483842849731445,0.0,0.0
7,"""[0.7476077]""",0.09781308472156525,0.7476082444190979,0.8905383348464966,"""[0.0]""",0.8745002746582031,0.0,0.0
8,"""[0.770141]""",0.09497565031051636,0.7701415419578552,0.8972859382629395,"""[0.0]""",0.9208782911300659,0.0,0.0
9,"""[0.78920126]""",0.0923093855381012,0.7892017364501953,0.916179358959198,"""[0.0]""",0.9357620477676392,0.0,0.0
10,"""[0.79591787]""",0.0902211144566536,0.795918345451355,0.9181286692619324,"""[0.0]""",0.8771315813064575,0.0,0.0
11,"""[0.79469806]""",0.08270604908466339,0.7946985363960266,0.9170790314674377,"""[0.0]""",0.9597873091697693,0.0,0.0
12,"""[0.8078897]""",0.08447037637233734,0.8078902363777161,0.9181286692619324,"""[0.0]""",1.0362153053283691,0.0,0.0
13,"""[0.7972059]""",0.08573229610919952,0.7972064018249512,0.9242765307426453,"""[0.0]""",0.9068416357040405,0.0,0.0
14,"""[0.7981422]""",0.08332119882106781,0.798142671585083,0.9278752207756042,"""[0.0]""",0.9459487199783325,0.0,0.0
15,"""[0.7917091]""",0.08771827816963196,0.7917096018791199,0.922177255153656,"""[0.0]""",0.8855857849121094,0.0,0.0
16,"""[0.80482376]""",0.08117028325796127,0.8048242926597595,0.9305742979049683,"""[0.0]""",1.0399243831634521,0.0,0.0
17,"""[0.81036913]""",0.08443630486726761,0.810369610786438,0.9304243326187134,"""[0.0]""",0.9763856530189514,0.0,0.0
18,"""[0.80678666]""",0.08585083484649658,0.8067871332168579,0.9304243326187134,"""[0.0]""",0.9338790774345398,0.0,0.0
19,"""[0.8131877]""",0.08555404096841812,0.8131882548332214,0.9301244616508484,"""[0.0]""",1.0104538202285767,0.0,0.0
20,"""[0.8256814]""",0.0828985720872879,0.8256819844245911,0.9304243326187134,"""[0.0]""",0.9519503116607666,0.0,0.0
21,"""[0.8277692]""",0.08539968729019165,0.8277696371078491,0.9332733750343323,"""[0.0]""",1.0789165496826172,0.0,0.0
22,"""[0.8246773]""",0.08592924475669861,0.8246778845787048,0.9310241341590881,"""[0.0]""",1.0357192754745483,0.0,0.0
23,"""[0.82609224]""",0.08398347347974777,0.8260927200317383,0.9323736429214478,"""[0.0]""",1.0321269035339355,0.0,0.0
24,"""[0.83237255]""",0.0861891433596611,0.8323730230331421,0.931473970413208,"""[0.0]""",1.0321674346923828,0.0,0.0
25,"""[0.83593273]""",0.08797185122966766,0.835933268070221,0.9320737719535828,"""[0.0]""",0.95587158203125,0.0,0.0
26,"""[0.8389527]""",0.08277376741170883,0.8389533162117004,0.9326735734939575,"""[0.0]""",0.9092413783073425,0.0,0.0
27,"""[0.8483026]""",0.0821349248290062,0.8483031392097473,0.9332733750343323,"""[0.0]""",0.9836965203285217,0.0,0.0
28,"""[0.83916223]""",0.08640038222074509,0.8391627073287964,0.9317739009857178,"""[0.0]""",0.9537996053695679,0.0,0.0
29,"""[0.85211986]""",0.08465998619794846,0.8521203994750977,0.9340230822563171,"""[0.0]""",0.9814324975013733,0.0,0.0
30,"""[0.84505844]""",0.08451110124588013,0.8450589776039124,0.9347728490829468,"""[0.0]""",1.0015703439712524,0.0,0.0
31,"""[0.8517551]""",0.08828719705343246,0.851755678653717,0.9347728490829468,"""[0.0]""",0.9701820611953735,0.0,0.0
32,"""[0.8493109]""",0.08995813876390457,0.849311351776123,0.9338731169700623,"""[0.0]""",1.0536268949508667,0.0,0.0
33,"""[0.8388263]""",0.08849599212408066,0.8388268351554871,0.9349227547645569,"""[0.0]""",1.0081108808517456,0.0,0.0
34,"""[0.85596323]""",0.08516407757997513,0.8559637069702148,0.9329734444618225,"""[0.0]""",0.9590955972671509,0.0,0.0
35,"""[0.84927523]""",0.0902351513504982,0.8492757678031921,0.9319238066673279,"""[0.0]""",0.8859089612960815,0.0,0.0
36,"""[0.84741056]""",0.0880679115653038,0.8474110960960388,0.925176203250885,"""[0.0]""",0.8709815740585327,0.0,0.0
37,"""[0.8500064]""",0.08411983400583267,0.8500068783760071,0.9287749528884888,"""[0.0]""",0.8877477645874023,0.0,0.0
38,"""[0.8509176]""",0.08486030250787735,0.8509180545806885,0.931174099445343,"""[0.0]""",0.9119659662246704,0.0,0.0
39,"""[0.8370486]""",0.08761222660541534,0.8370490670204163,0.9289248585700989,"""[0.0]""",0.9216218590736389,0.0,0.0
40,"""[0.85562843]""",0.08255445957183838,0.8556289672851562,0.9322237372398376,"""[0.0]""",0.8988765478134155,0.0,0.0
41,"""[0.8378042]""",0.09100493043661118,0.8378047347068787,0.922477126121521,"""[0.0]""",0.9412438869476318,0.0,0.0
42,"""[0.84941775]""",0.08356866240501404,0.8494182229042053,0.9304243326187134,"""[0.0]""",0.943035900592804,0.0,0.0
43,"""[0.841079]""",0.08794699609279633,0.8410794734954834,0.9253261089324951,"""[0.0]""",0.9704788327217102,0.0,0.0
44,"""[0.85969484]""",0.08518330007791519,0.859695315361023,0.9307242631912231,"""[0.0]""",1.0181771516799927,0.0,0.0
45,"""[0.87367046]""",0.08862559497356415,0.8736709356307983,0.9364222288131714,"""[0.0]""",1.031622052192688,0.0,0.0
46,"""[0.88348365]""",0.08976556360721588,0.8834841847419739,0.9368720650672913,"""[0.0]""",0.9693990349769592,0.0,0.0
47,"""[0.8951665]""",0.10289698094129562,0.8951670527458191,0.9359723925590515,"""[0.0]""",1.0480958223342896,0.0,0.0
48,"""[0.88135785]""",0.0885208249092102,0.8813583254814148,0.9379217028617859,"""[0.0]""",0.9841657280921936,0.0,0.0
49,"""[0.8817001]""",0.1015162318944931,0.8817005753517151,0.9298245906829834,"""[0.0]""",1.0526978969573975,0.0,0.0
50,"""[0.8785558]""",0.11852772533893585,0.8785562515258789,0.9307242631912231,"""[0.0]""",1.002665638923645,0.0,0.0
51,"""[0.81776464]""",0.08113553375005722,0.8177651762962341,0.9097315669059753,"""[0.0]""",0.6596527099609375,0.0,0.0
52,"""[0.8403115]""",0.07144609838724136,0.8403120040893555,0.9208276867866516,"""[0.0]""",0.6312297582626343,0.0,0.0
53,"""[0.85381365]""",0.07004480063915253,0.8538141250610352,0.9230769276618958,"""[0.0]""",0.6381532549858093,0.0,0.0
54,"""[0.86032844]""",0.07217121124267578,0.8603289723396301,0.92547607421875,"""[0.0]""",0.670610249042511,0.0,0.0
55,"""[0.85716236]""",0.07323706895112991,0.8571628332138062,0.9178287386894226,"""[0.015747532]""",0.6686040759086609,0.015748031437397003,0.003100775182247162
56,"""[0.86440384]""",0.06745965033769608,0.8644043803215027,0.9205278158187866,"""[0.022507537]""",0.6679293513298035,0.022508038207888603,0.005426356568932533
57,"""[0.8657154]""",0.07048049569129944,0.8657159209251404,0.9193282127380371,"""[0.074073575]""",0.6869188547134399,0.07407407462596893,0.029457364231348038
58,"""[0.8510604]""",0.07134328037500381,0.8510608673095703,0.9142300486564636,"""[0.13457894]""",0.6669620871543884,0.13457943499088287,0.055813953280448914
59,"""[0.8608459]""",0.07078571617603302,0.8608464002609253,0.9211276173591614,"""[0.12897477]""",0.6422225832939148,0.1289752721786499,0.05658914893865585
60,"""[0.8624029]""",0.06437409669160843,0.862403392791748,0.9200779795646667,"""[0.1314874]""",0.6349546909332275,0.1314878910779953,0.058914728462696075
61,"""[0.85744095]""",0.0602261945605278,0.8574414849281311,0.9226270914077759,"""[0.12758571]""",0.6565728783607483,0.12758620083332062,0.057364340871572495
62,"""[0.8572222]""",0.06890297681093216,0.8572226762771606,0.9200779795646667,"""[0.15602788]""",0.6528599262237549,0.1560283750295639,0.06821705400943756
63,"""[0.8581397]""",0.06289263814687729,0.8581401705741882,0.9215774536132812,"""[0.12433343]""",0.6548536419868469,0.1243339255452156,0.05426356568932533
64,"""[0.86645997]""",0.06218976527452469,0.8664605021476746,0.9242765307426453,"""[0.1349348]""",0.625426709651947,0.13493530452251434,0.05658914893865585
65,"""[0.86951584]""",0.06121757626533508,0.8695163130760193,0.9272754788398743,"""[0.12633783]""",0.6179183721542358,0.12633833289146423,0.04573643580079079
66,"""[0.8773914]""",0.06364116072654724,0.8773919343948364,0.928175151348114,"""[0.101448774]""",0.651218593120575,0.10144927352666855,0.03798449784517288
67,"""[0.8789552]""",0.05961617827415466,0.878955602645874,0.9287749528884888,"""[0.09311691]""",0.6536543369293213,0.09311740845441818,0.03565891459584236
68,"""[0.87006557]""",0.061585668474435806,0.8700660467147827,0.9287749528884888,"""[0.049852874]""",0.7128806114196777,0.0498533733189106,0.013178294524550438
69,"""[0.86218935]""",0.07416941225528717,0.8621898293495178,0.922177255153656,"""[0.0862064]""",0.7109799981117249,0.08620689809322357,0.027131782844662666
70,"""[0.8721237]""",0.06684403121471405,0.872124195098877,0.9265257120132446,"""[0.16108736]""",0.6739552617073059,0.16108787059783936,0.059689924120903015
71,"""[0.8719679]""",0.060997411608695984,0.8719683885574341,0.9272754788398743,"""[0.17612474]""",0.6629852652549744,0.17612524330615997,0.06976744532585144
72,"""[0.87758815]""",0.06275855004787445,0.8775886297225952,0.9277253150939941,"""[0.116980635]""",0.6537527441978455,0.1169811338186264,0.04806201532483101
73,"""[0.87512314]""",0.05953501537442207,0.8751236200332642,0.9289248585700989,"""[0.20626101]""",0.570519745349884,0.2062615156173706,0.08682170510292053
74,"""[0.8783454]""",0.058630991727113724,0.8783458471298218,0.9299744963645935,"""[0.22879127]""",0.5508326888084412,0.22879177331924438,0.0689922496676445
75,"""[0.8684688]""",0.06003635749220848,0.86846923828125,0.9247263669967651,"""[0.13749951]""",0.5528586506843567,0.13750000298023224,0.03410852700471878
76,"""[0.86233974]""",0.06165139749646187,0.8623402118682861,0.9205278158187866,"""[0.18503886]""",0.5680643916130066,0.18503937125205994,0.0364341102540493
77,"""[0.86846495]""",0.05873647332191467,0.8684654235839844,0.9266756772994995,"""[0.11494203]""",0.59247887134552,0.1149425283074379,0.01550387591123581
78,"""[0.87099004]""",0.05710046738386154,0.870990514755249,0.9242765307426453,"""[0.07108955]""",0.5585033893585205,0.07109005004167557,0.011627906933426857
79,"""[0.872497]""",0.061392735689878464,0.8724974989891052,0.9214274883270264,"""[0.27668795]""",0.47288280725479126,0.27668845653533936,0.09844961017370224
80,"""[0.8687869]""",0.06298501789569855,0.8687872886657715,0.9173789024353027,"""[0.32411018]""",0.48000285029411316,0.3241106867790222,0.12713178992271423
81,"""[0.86984396]""",0.06347482651472092,0.8698444366455078,0.9139301180839539,"""[0.3068387]""",0.47913509607315063,0.3068391978740692,0.12868216633796692
82,"""[0.8741944]""",0.0633639469742775,0.8741949200630188,0.9158794283866882,"""[0.32798523]""",0.44221365451812744,0.3279857337474823,0.14263565838336945
83,"""[0.8681455]""",0.06947266310453415,0.8681460022926331,0.9092817306518555,"""[0.3303882]""",0.4543795585632324,0.3303886950016022,0.14496123790740967
84,"""[0.88039863]""",0.06025078147649765,0.8803991675376892,0.9260758757591248,"""[0.3370039]""",0.4671028256416321,0.3370043933391571,0.11860465258359909
85,"""[0.8801601]""",0.0658620297908783,0.8801605701446533,0.9206777811050415,"""[0.35073358]""",0.45732295513153076,0.35073408484458923,0.1666666716337204
86,"""[0.88105106]""",0.06161489337682724,0.8810515999794006,0.9196281433105469,"""[0.44877997]""",0.4231269955635071,0.44878047704696655,0.21395349502563477
87,"""[0.8714769]""",0.05988185852766037,0.8714773654937744,0.9181286692619324,"""[0.44687977]""",0.46081650257110596,0.4468802809715271,0.20542635023593903
88,"""[0.8697183]""",0.05776097625494003,0.8697187900543213,0.9229269623756409,"""[0.34563708]""",0.5117934346199036,0.34563758969306946,0.15968991816043854
89,"""[0.86810327]""",0.05978546291589737,0.8681038022041321,0.9178287386894226,"""[0.4777392]""",0.43130671977996826,0.47773972153663635,0.216279074549675
90,"""[0.8812884]""",0.05382036417722702,0.8812888860702515,0.9350727200508118,"""[0.33535302]""",0.5136145949363708,0.3353535234928131,0.12868216633796692
91,"""[0.8873856]""",0.0492355152964592,0.8873860836029053,0.9346228837966919,"""[0.37196717]""",0.5659427046775818,0.3719676434993744,0.10697674751281738
92,"""[0.8930094]""",0.048365846276283264,0.8930099606513977,0.9386714696884155,"""[0.4513884]""",0.4957408607006073,0.4513888955116272,0.151162788271904
93,"""[0.8937015]""",0.046933673322200775,0.8937019109725952,0.940470814704895,"""[0.43551353]""",0.46090999245643616,0.43551403284072876,0.18062014877796173
94,"""[0.89208895]""",0.05615653470158577,0.8920894265174866,0.9334232807159424,"""[0.5582273]""",0.35802462697029114,0.5582278370857239,0.34186047315597534
95,"""[0.89041436]""",0.05589292198419571,0.8904148936271667,0.9235267639160156,"""[0.5997547]""",0.36214685440063477,0.5997552275657654,0.3798449635505676
96,"""[0.9012127]""",0.05249373987317085,0.9012131690979004,0.9356725215911865,"""[0.59593344]""",0.40955591201782227,0.5959339141845703,0.3635658919811249
97,"""[0.8977562]""",0.06017483025789261,0.8977566957473755,0.9361223578453064,"""[0.554513]""",0.4356895983219147,0.5545134544372559,0.36666667461395264
98,"""[0.8969988]""",0.0516415610909462,0.8969994187355042,0.9323736429214478,"""[0.5394084]""",0.5207412242889404,0.5394088625907898,0.3395348787307739
99,"""[0.9069291]""",0.049692388623952866,0.9069295525550842,0.9380716681480408,"""[0.5434512]""",0.5400953888893127,0.5434516668319702,0.34418603777885437
100,"""[0.88051903]""",0.07821814715862274,0.8805195093154907,0.9149797558784485,"""[0.44278556]""",0.6937541961669922,0.4427860677242279,0.275968998670578
101,"""[0.86723506]""",0.03995305299758911,0.8672356009483337,0.9295246601104736,"""[0.7949461]""",0.20423361659049988,0.794946551322937,0.6341085433959961
102,"""[0.86947405]""",0.039354026317596436,0.8694745898246765,0.9379217028617859,"""[0.8184611]""",0.19235298037528992,0.818461537361145,0.6186046600341797
103,"""[0.8653496]""",0.0388370156288147,0.865350067615509,0.9395711421966553,"""[0.82243955]""",0.19964635372161865,0.8224400877952576,0.5852712988853455
104,"""[0.86221564]""",0.039099402725696564,0.8622161149978638,0.9392712712287903,"""[0.81354004]""",0.20259535312652588,0.813540518283844,0.5682170391082764
105,"""[0.8629793]""",0.03905705735087395,0.8629797697067261,0.9406207799911499,"""[0.79999954]""",0.20811939239501953,0.800000011920929,0.5550387501716614
