epoch,F1,loss,precision,recall,val_F1,val_loss,val_precision,val_recall
106,"""[0.8672745]""",0.03918427228927612,0.8672749996185303,0.9406207799911499,"""[0.791523]""",0.21220484375953674,0.7915234565734863,0.5356588959693909
107,"""[0.86963093]""",0.04023968428373337,0.8696314692497253,0.9412205815315247,"""[0.7867128]""",0.2101844847202301,0.7867133021354675,0.5232558250427246
108,"""[0.872334]""",0.041708704084157944,0.8723344802856445,0.9385215044021606,"""[0.78031164]""",0.2102295607328415,0.7803121209144592,0.5038759708404541
109,"""[0.8746673]""",0.04250124469399452,0.874667763710022,0.9376218318939209,"""[0.76654583]""",0.21727797389030457,0.7665463089942932,0.4937984347343445
110,"""[0.87605107]""",0.042388688772916794,0.8760516047477722,0.9368720650672913,"""[0.7529828]""",0.22097939252853394,0.7529832720756531,0.48914727568626404
111,"""[0.8756298]""",0.0424276739358902,0.875630259513855,0.937471866607666,"""[0.746411]""",0.22384077310562134,0.7464115023612976,0.48372092843055725
112,"""[0.8757516]""",0.042729705572128296,0.8757520914077759,0.9385215044021606,"""[0.7334132]""",0.23160195350646973,0.7334137558937073,0.4713178277015686
113,"""[0.8773156]""",0.043743446469306946,0.8773161172866821,0.937171995639801,"""[0.7133671]""",0.24256055057048798,0.7133675813674927,0.43023255467414856
114,"""[0.88044953]""",0.04227500036358833,0.8804500699043274,0.9386714696884155,"""[0.70595646]""",0.2489660084247589,0.7059569358825684,0.43178293108940125
115,"""[0.8834177]""",0.04456445202231407,0.8834182024002075,0.9362723231315613,"""[0.7170726]""",0.24999168515205383,0.7170731425285339,0.4558139443397522
116,"""[0.8838192]""",0.04632962867617607,0.8838197588920593,0.9353725910186768,"""[0.71976]""",0.2549595832824707,0.7197604775428772,0.4658914804458618
117,"""[0.88488233]""",0.047564174979925156,0.8848828673362732,0.9347728490829468,"""[0.70998746]""",0.2697766423225403,0.7099879384040833,0.45736435055732727
118,"""[0.8823857]""",0.046966660767793655,0.8823861479759216,0.9382216334342957,"""[0.7093708]""",0.2820585370063782,0.7093712687492371,0.4635658860206604
119,"""[0.8791903]""",0.04850590601563454,0.8791908621788025,0.9319238066673279,"""[0.7010671]""",0.28773120045661926,0.7010676264762878,0.4581395387649536
120,"""[0.87892836]""",0.04628079757094383,0.8789288401603699,0.9350727200508118,"""[0.70095646]""",0.29310762882232666,0.7009569406509399,0.4542635679244995
121,"""[0.88088125]""",0.048416867852211,0.8808817267417908,0.9347728490829468,"""[0.69073355]""",0.30190640687942505,0.6907340288162231,0.4449612498283386
122,"""[0.8789365]""",0.046403467655181885,0.8789370059967041,0.9373219609260559,"""[0.6982092]""",0.30250284075737,0.6982097029685974,0.4232558012008667
123,"""[0.876503]""",0.043089814484119415,0.8765034675598145,0.9397211074829102,"""[0.6680157]""",0.33339831233024597,0.6680161952972412,0.38372093439102173
124,"""[0.87755626]""",0.043027281761169434,0.8775567412376404,0.9392712712287903,"""[0.64275813]""",0.3526134192943573,0.6427586078643799,0.36124029755592346
125,"""[0.8767463]""",0.04188959300518036,0.8767467737197876,0.9407707452774048,"""[0.62304354]""",0.3723032772541046,0.6230440735816956,0.3395348787307739
126,"""[0.8778503]""",0.04180899262428284,0.8778508305549622,0.9407707452774048,"""[0.66432536]""",0.34314844012260437,0.6643258333206177,0.36666667461395264
127,"""[0.8797402]""",0.04548460245132446,0.8797405958175659,0.9356725215911865,"""[0.6350645]""",0.3488648533821106,0.635064959526062,0.3790697753429413
128,"""[0.8801226]""",0.037603430449962616,0.8801230788230896,0.943469762802124,"""[0.7141083]""",0.3049319386482239,0.7141088843345642,0.44728681445121765
129,"""[0.8796067]""",0.05229398235678673,0.8796072006225586,0.9268255829811096,"""[0.67165995]""",0.2993689477443695,0.6716604232788086,0.41705426573753357
130,"""[0.8763851]""",0.045744139701128006,0.8763855695724487,0.9365721940994263,"""[0.6458051]""",0.3375190198421478,0.6458055973052979,0.3759689927101135
131,"""[0.871392]""",0.044946782290935516,0.871392548084259,0.9326735734939575,"""[0.66401017]""",0.3315246105194092,0.6640106439590454,0.38759690523147583
132,"""[0.876873]""",0.04254337027668953,0.8768734931945801,0.9386714696884155,"""[0.7159995]""",0.34459763765335083,0.7160000205039978,0.4162790775299072
133,"""[0.8689804]""",0.045917805284261703,0.8689809441566467,0.9308741688728333,"""[0.6637926]""",0.3742333650588989,0.6637930870056152,0.3581395447254181
134,"""[0.8791033]""",0.04008076339960098,0.8791038393974304,0.9355225563049316,"""[0.71742064]""",0.39857131242752075,0.7174211144447327,0.40542635321617126
135,"""[0.8636296]""",0.04462393373250961,0.8636300563812256,0.9325236082077026,"""[0.6872176]""",0.37687796354293823,0.6872180700302124,0.354263573884964
136,"""[0.8839508]""",0.04023582115769386,0.8839513063430786,0.9365721940994263,"""[0.70946985]""",0.4783738851547241,0.7094703316688538,0.3426356613636017
137,"""[0.8686014]""",0.04923001676797867,0.8686018586158752,0.9287749528884888,"""[0.72237146]""",0.36906665563583374,0.7223719954490662,0.4155038893222809
138,"""[0.8812603]""",0.059189651161432266,0.8812608122825623,0.9181286692619324,"""[0.6401133]""",0.5067809224128723,0.6401137709617615,0.3488371968269348
139,"""[0.86661017]""",0.04820845648646355,0.8666106462478638,0.9274253845214844,"""[0.68339723]""",0.43098050355911255,0.6833977103233337,0.4116279184818268
140,"""[0.87550026]""",0.05759259685873985,0.8755008578300476,0.9173789024353027,"""[0.6666662]""",0.4453975558280945,0.6666666865348816,0.4124031066894531
141,"""[0.87699723]""",0.05514911562204361,0.876997709274292,0.9215774536132812,"""[0.66420615]""",0.4714382588863373,0.6642066240310669,0.41860464215278625
142,"""[0.87842417]""",0.05602699890732765,0.8784246444702148,0.9230769276618958,"""[0.6494409]""",0.539807915687561,0.6494413614273071,0.3604651093482971
143,"""[0.87349606]""",0.05303386226296425,0.8734965324401855,0.9256260395050049,"""[0.6524818]""",0.508816123008728,0.652482271194458,0.42790699005126953
144,"""[0.8760302]""",0.05447270721197128,0.876030683517456,0.9239766001701355,"""[0.6634494]""",0.49997690320014954,0.6634499430656433,0.42635658383369446
145,"""[0.8737654]""",0.05201657488942146,0.8737658858299255,0.9289248585700989,"""[0.67230123]""",0.5022426843643188,0.672301709651947,0.4007751941680908
146,"""[0.8737148]""",0.04370331019163132,0.873715341091156,0.9305742979049683,"""[0.6953031]""",0.4691360890865326,0.6953035593032837,0.47054263949394226
147,"""[0.8788219]""",0.04798416048288345,0.878822386264801,0.9265257120132446,"""[0.6561708]""",0.545821487903595,0.6561712622642517,0.4038759768009186
148,"""[0.88285005]""",0.05441943183541298,0.8828505873680115,0.9232268929481506,"""[0.6812791]""",0.5367916822433472,0.6812795996665955,0.44573643803596497
149,"""[0.8815859]""",0.043141961097717285,0.8815863728523254,0.9332733750343323,"""[0.69180703]""",0.5845470428466797,0.6918075680732727,0.4124031066894531
150,"""[0.8809854]""",0.044668298214673996,0.8809859156608582,0.9379217028617859,"""[0.6940099]""",0.5640522837638855,0.6940104365348816,0.41317829489707947
151,"""[0.8558851]""",0.04467768967151642,0.8558855652809143,0.9332733750343323,"""[0.9229893]""",0.2303052693605423,0.9229897856712341,0.6317829489707947
152,"""[0.85651404]""",0.045439500361680984,0.856514573097229,0.934472918510437,"""[0.913813]""",0.2547439634799957,0.9138134717941284,0.6000000238418579
153,"""[0.8595694]""",0.04208929464221001,0.859569787979126,0.9407707452774048,"""[0.90846]""",0.29906371235847473,0.9084604978561401,0.5077519416809082
154,"""[0.8640412]""",0.04060974717140198,0.8640416860580444,0.9443694949150085,"""[0.87650555]""",0.3242855370044708,0.8765060305595398,0.45116278529167175
155,"""[0.86566293]""",0.04290313646197319,0.8656634092330933,0.94017094373703,"""[0.862015]""",0.3435383439064026,0.8620154857635498,0.4310077428817749
156,"""[0.86832595]""",0.044017717242240906,0.8683264255523682,0.9413705468177795,"""[0.8493585]""",0.3530355989933014,0.8493589758872986,0.41085270047187805
157,"""[0.8693601]""",0.04399915784597397,0.869360625743866,0.9419702887535095,"""[0.8545146]""",0.36878103017807007,0.8545150756835938,0.3961240351200104
158,"""[0.8726561]""",0.04374926909804344,0.8726565837860107,0.9422702193260193,"""[0.8556696]""",0.37393760681152344,0.8556700944900513,0.38604649901390076
159,"""[0.873331]""",0.04393760859966278,0.8733314871788025,0.9418203830718994,"""[0.858376]""",0.3749992251396179,0.8583765029907227,0.3852713108062744
160,"""[0.8738169]""",0.04402884840965271,0.8738174438476562,0.9418203830718994,"""[0.8714783]""",0.37597012519836426,0.8714788556098938,0.38372093439102173
161,"""[0.8751912]""",0.043570924550294876,0.8751917481422424,0.9410706162452698,"""[0.8797122]""",0.3800080716609955,0.8797127604484558,0.3798449635505676
162,"""[0.874477]""",0.04234739765524864,0.8744775652885437,0.9412205815315247,"""[0.87658757]""",0.3823603391647339,0.8765880465507507,0.37441861629486084
163,"""[0.8739538]""",0.04285300895571709,0.8739542961120605,0.939871072769165,"""[0.8772558]""",0.38333430886268616,0.8772563338279724,0.37674418091773987
164,"""[0.8743895]""",0.04236737638711929,0.8743900656700134,0.940470814704895,"""[0.8797809]""",0.38545358180999756,0.8797814249992371,0.37441861629486084
165,"""[0.875313]""",0.04153543710708618,0.8753134608268738,0.9421202540397644,"""[0.8829977]""",0.3852187991142273,0.8829981684684753,0.37441861629486084
166,"""[0.8761488]""",0.04070637747645378,0.8761493563652039,0.9430199265480042,"""[0.8858691]""",0.3833889961242676,0.885869562625885,0.3790697753429413
167,"""[0.8759221]""",0.039374660700559616,0.8759225606918335,0.943169891834259,"""[0.89137876]""",0.3695095181465149,0.8913792967796326,0.4007751941680908
168,"""[0.87567663]""",0.03846387565135956,0.8756771683692932,0.9452691674232483,"""[0.8920738]""",0.3705752193927765,0.8920742273330688,0.4100775122642517
169,"""[0.8756422]""",0.039468396455049515,0.8756426572799683,0.9449692368507385,"""[0.89822245]""",0.3561190366744995,0.8982229232788086,0.4310077428817749
170,"""[0.8755038]""",0.04027455672621727,0.8755042552947998,0.9437696933746338,"""[0.8915465]""",0.3519743084907532,0.8915470242500305,0.4333333373069763
171,"""[0.8724549]""",0.04048359394073486,0.872455358505249,0.9446693658828735,"""[0.88702244]""",0.3357026278972626,0.8870229125022888,0.4503875970840454
172,"""[0.87127435]""",0.03932875767350197,0.8712748289108276,0.9469186067581177,"""[0.8845025]""",0.3261547386646271,0.8845029473304749,0.4689922332763672
173,"""[0.87064624]""",0.0392298549413681,0.8706467747688293,0.9446693658828735,"""[0.8853142]""",0.3229866325855255,0.8853147029876709,0.4906976819038391
174,"""[0.87360907]""",0.0403355173766613,0.8736095428466797,0.9421202540397644,"""[0.8845066]""",0.3341253399848938,0.8845070600509644,0.486821711063385
175,"""[0.8760245]""",0.03890138119459152,0.8760250210762024,0.9451192021369934,"""[0.8907889]""",0.3071843981742859,0.8907894492149353,0.5248062014579773
176,"""[0.8784872]""",0.03769855946302414,0.8784877061843872,0.9442195296287537,"""[0.8942416]""",0.26509523391723633,0.8942420482635498,0.5899224877357483
177,"""[0.87914646]""",0.03539484366774559,0.879146933555603,0.9457190036773682,"""[0.88369393]""",0.26627713441848755,0.8836944103240967,0.6007751822471619
178,"""[0.88227856]""",0.034311261028051376,0.8822790384292603,0.9473684430122375,"""[0.8720796]""",0.2700572907924652,0.8720800876617432,0.6077519655227661
179,"""[0.88317645]""",0.03502655029296875,0.8831769227981567,0.9454191327095032,"""[0.87792426]""",0.2444278448820114,0.8779247403144836,0.6689922213554382
180,"""[0.8773962]""",0.040457721799612045,0.8773967623710632,0.9400209784507751,"""[0.8879051]""",0.24855372309684753,0.8879055976867676,0.699999988079071
181,"""[0.8741791]""",0.04282708466053009,0.8741796016693115,0.9386714696884155,"""[0.87110585]""",0.3178184926509857,0.8711063265800476,0.6286821961402893
182,"""[0.87174076]""",0.043471161276102066,0.8717412352561951,0.9376218318939209,"""[0.8661412]""",0.34237340092658997,0.8661417365074158,0.5968992114067078
183,"""[0.87260205]""",0.04621901735663414,0.8726025223731995,0.9346228837966919,"""[0.84245026]""",0.3562018573284149,0.842450737953186,0.5968992114067078
184,"""[0.8648869]""",0.04885438457131386,0.8648874163627625,0.9329734444618225,"""[0.83585054]""",0.305481493473053,0.8358509540557861,0.643410861492157
185,"""[0.8494135]""",0.0506962351500988,0.8494139909744263,0.9346228837966919,"""[0.8225801]""",0.2899722754955292,0.8225806355476379,0.5534883737564087
186,"""[0.8483563]""",0.0498712956905365,0.8483567237854004,0.9328235387802124,"""[0.824306]""",0.3423060178756714,0.8243064880371094,0.48372092843055725
187,"""[0.8494854]""",0.053100645542144775,0.8494859337806702,0.9292247891426086,"""[0.83212507]""",0.29215994477272034,0.8321256041526794,0.5341085195541382
188,"""[0.8514533]""",0.052770961076021194,0.8514537811279297,0.9265257120132446,"""[0.81378436]""",0.29878756403923035,0.8137847781181335,0.5217054486274719
189,"""[0.84894204]""",0.050535090267658234,0.8489425778388977,0.9269755482673645,"""[0.7986186]""",0.2794090509414673,0.7986190915107727,0.5379844903945923
190,"""[0.851999]""",0.04815207049250603,0.8519994616508484,0.9296746253967285,"""[0.7811403]""",0.2771972715854645,0.7811408638954163,0.5201550126075745
191,"""[0.8545699]""",0.04557346925139427,0.8545704483985901,0.9322237372398376,"""[0.7705673]""",0.2677795886993408,0.770567774772644,0.5155038833618164
192,"""[0.85739803]""",0.04436340183019638,0.857398509979248,0.9340230822563171,"""[0.76430154]""",0.2700018286705017,0.7643020749092102,0.5178294777870178
193,"""[0.8590728]""",0.043844178318977356,0.8590733408927917,0.934173047542572,"""[0.75806403]""",0.2679305672645569,0.7580645084381104,0.5100775361061096
194,"""[0.86213994]""",0.04351716488599777,0.8621404767036438,0.9349227547645569,"""[0.7388133]""",0.26277291774749756,0.7388137578964233,0.5503876209259033
195,"""[0.865235]""",0.04167227819561958,0.865235447883606,0.9367221593856812,"""[0.74270785]""",0.271465927362442,0.7427083253860474,0.55271315574646
196,"""[0.8616928]""",0.0415002666413784,0.8616933226585388,0.9370220303535461,"""[0.7626369]""",0.2549850344657898,0.7626373767852783,0.5379844903945923
197,"""[0.8561996]""",0.04455384984612465,0.8562001585960388,0.9338731169700623,"""[0.7418143]""",0.24952241778373718,0.7418147921562195,0.6147286891937256
198,"""[0.8636108]""",0.042073655873537064,0.8636112809181213,0.9380716681480408,"""[0.759652]""",0.23220284283161163,0.7596524953842163,0.6100775003433228
199,"""[0.8583444]""",0.04448419809341431,0.8583448529243469,0.9331234097480774,"""[0.74418557]""",0.23616163432598114,0.7441860437393188,0.6201550364494324
